title,link,views,watched
Test coverage - Arvid Norberg [ CppCon 2018 ],https://www.youtube.com/watch?v=aLpdVSGX3K0,1980,
CppCon 2018: Tony Wasserka “Teaching Old Compilers New Tricks: Transpiling C++17 to C++11”,https://www.youtube.com/watch?v=-dtWIY3UMQM,1937,
Funqual: user-defined statically-checked call graph constraints in C++ - Andrew Nelson [CppCon 2018],https://www.youtube.com/watch?v=oOZN6GqfdTs,1899,
docs.microsoft.com Needs You! - Colin Robertson [ CppCon 2018 ],https://www.youtube.com/watch?v=V3h3X08A0DY,1891,
Feedback on practical use of C++17 std::recursive_directory_iterator - Noel Tchidjo [ CppCon 2018 ],https://www.youtube.com/watch?v=aRb5uK-LMiE,1772,
Engineering Software: integral types - Andrei Zlate-Podani [ CppCon 2018 ],https://www.youtube.com/watch?v=YB18n52BUYM,1769,
SG14: The Story So Far - John McFarlane [ CppCon 2018 ],https://www.youtube.com/watch?v=W0UHKh6tF9E,1757,
C++ Cryptozoology - A Compendium of Cryptic Characters :: #2 - Adi Shavit [ CppCon 2018 ],https://www.youtube.com/watch?v=f-O8RTdcKeY,1669,
Make It Fixable: Preparing for Security Vulnerability Reports - Patricia Aas [ CppCon 2018 ],https://www.youtube.com/watch?v=IupP8AFrOJk,1473,
rof_egnar reversed adapter for(auto x:reversed(range)) -  Peter Sommerlad [ CppCon 2018 ],https://www.youtube.com/watch?v=ALKpSBX2W-8,1340,
